date,temp,rain,wind_speed,humidity,sun_hour,sun_power,snow,cloud,solar_power
2015-01-01 1:00,-4.4,0,5.4,47,0,0,0.5,6,0
2015-01-01 2:00,-4.6,0,4.9,50,0,0,0.5,0,0
2015-01-01 3:00,-4.7,0,6.2,50,0,0,0.5,6,0
2015-01-01 4:00,-5,0,5,56,0,0,0.5,6,0
2015-01-01 5:00,-5,0,5.5,52,0,0,0.5,6,0
2015-01-01 6:00,-5.3,0,4,58,0,0,0.5,6,0
2015-01-01 7:00,-5.7,0,5,58,0,0,0.4,6,0
2015-01-01 8:00,-5.7,0,4.6,56,0,0,0.4,3,0
2015-01-01 9:00,-5.4,0,6.7,57,0,0.14,0.4,6,20
2015-01-01 10:00,-5,0,6.5,59,0.6,0.48,0.4,6,131
2015-01-01 11:00,-4.7,0,6.4,60,0.9,0.81,0.4,7,187
2015-01-01 12:00,-5,0,6,62,0.5,0.85,0.4,8,295
2015-01-01 13:00,-4.4,0,5.7,58,0.8,1.12,0.2,8,347
2015-01-01 14:00,-4.2,0,5.9,62,0.1,0.6,0,8,232
2015-01-01 15:00,-3.6,0,6.2,61,0.2,0.65,0,8,145
2015-01-01 16:00,-3.9,0,5.2,61,0.3,0.38,0,6,156
2015-01-01 17:00,-4.3,0,5,62,0.4,0.23,0,6,70
2015-01-01 18:00,-4.2,0,2.8,64,0,0.01,0,8,0
2015-01-01 19:00,-3.9,0,3.4,65,0,0,0,0,0
2015-01-01 20:00,-3.7,0,3.2,65,0,0,0,0,0
2015-01-01 21:00,-3.7,0,3.6,66,0,0,0,8,0
2015-01-01 22:00,-3.8,0,2.2,67,0,0,0,8,0
2015-01-01 23:00,-4,0,2.3,73,0,0,0,8,0
2015-01-02 0:00,-4.1,0,1.3,74,0,0,0,8,0
2015-01-02 1:00,-4.4,0,0.4,76,0,0,0,8,0
2015-01-02 2:00,-4.4,0,0.7,79,0,0,0,8,0
2015-01-02 3:00,-4.6,0,0.4,82,0,0,0,8,0
2015-01-02 4:00,-5,0,0.5,87,0,0,0,8,0
2015-01-02 5:00,-5.2,0,0.5,89,0,0,0,8,0
2015-01-02 6:00,-5.7,0.1,0.5,91,0,0,0.5,8,0
2015-01-02 7:00,-7.2,0,0.2,92,0,0,0.5,4,0
2015-01-02 8:00,-6.1,0,0,92,0,0,0.5,8,0
